base_column,original_column,kept
Do you consistent monitor and record total water usage for wet processing at the farm - if applicable,Do you consistent monitor and record total water usage for wet processing at the farm - if applicable,True
Water use in Irrigation (m3 water / ha / year),Water use in Irrigation (m3 water / ha / year),True
Water use in wet processing (m3 water / kg parchment coffee),Water use in wet processing (m3 water / kg parchment coffee),True
"Do you control irrigation based on soil moisture monitoring (sensors, upside bottle practise, .)?","Do you control irrigation based on soil moisture monitoring (sensors, upside bottle practise, .)?",True
Is the Waste water treatment adequate vs production volume,Is the Waste water treatment adequate vs production volume,True
Do you have water bodies at your farm?,Do you have water bodies at your farm?,True
"If you have water bodies at your farm, what is the minimum distance between field (fertilizer and pesticide application area) and the water body?","If you have water bodies at your farm, what is the minimum distance between field (fertilizer and pesticide application area) and the water body?",True
"Are the riparian buffer strips covered with natural vegetation (hedges, bushes, trees, etc)?","Are the riparian buffer strips covered with natural vegetation (hedges, bushes, trees, etc)?",True
"Do you keep financial management records (i.e. expenses, income P/L, etc.)?","Do you keep financial management records (i.e. expenses, income P/L, etc.)?",True
Are you member of an approved RS Unit,Are you member of an approved RS Unit,True
FAT score,FAT score,True
FAT %,FAT %,True
FAT Level,FAT Level,True
Completion status step 6,Completion status step 6,True
Remarks step 6,Remarks step 6,True
Number coffee trees arabica - if applicable (trees/ha),Number coffee trees arabica - if applicable (trees/ha),True
Number coffee trees robusta (trees/ha),Number coffee trees robusta (trees/ha),True
Coffee trees age 0-2 (%),Coffee trees age 0-2 (%),True
Coffee trees age 3-20 (%),Coffee trees age 3-20 (%),True
Coffee trees age >20 (%),Coffee trees age >20 (%),True
Number of different commercial species (crops) in the farm (beyond coffee),Number of different commercial species (crops) in the farm (beyond coffee),True
What are the main other crops interplanted with coffee,What are the main other crops interplanted with coffee,True
What portion of the coffee area has shade trees (all kind of trees covering coffee trees)? (%),What portion of the coffee area has shade trees (all kind of trees covering coffee trees)? (%),True
Number of different shade tree species (excl. commercial tree species),Number of different shade tree species (excl. commercial tree species),True
What portion of shade trees are N-fixing? (%),What portion of shade trees are N-fixing? (%),True
What portion of shade trees are native? (%),What portion of shade trees are native? (%),True
Where does the irrigation water come from?,Where does the irrigation water come from?,True
How many irrigation rounds/year?,How many irrigation rounds/year?,True
How much irrigation water per round? (m3/ha/round),How much irrigation water per round? (m3/ha/round),True
Completion status step 7,Completion status step 7,True
Remarks step 7,Remarks step 7,True
How satisfied are you about the Nescafe Plan/projects this year?,How satisfied are you about the Nescafe Plan/projects this year?,True
"If the respondent is dissatisfied, what is the reason/cause?","If the respondent is dissatisfied, what is the reason/cause?",True
How confident are you that your children / next generation will have a good livelihood from coffee farming?,How confident are you that your children / next generation will have a good livelihood from coffee farming?,True
Who is the sucessor to your farm?,Who is the sucessor to your farm?,True
Weather/climate,Weather/climate,True
Lack of irrigation water,Lack of irrigation water,True
Low coffee prices,Low coffee prices,True
Other crops more profitable,Other crops more profitable,True
Expensive inputs,Expensive inputs,True
Lack of labor,Lack of labor,True
No family to take over my farm,No family to take over my farm,True
COVID - 19,COVID - 19,True
Other (please specify),Other (please specify),True
Other (please specify) text,Other (please specify) text,True
None,None,True
How do you tackle the challenges,How do you tackle the challenges,True
Completion status step 8,Completion status step 8,True
Remarks step 8,Remarks step 8,True
Status by enumerator,Status by enumerator,True
Comment by enumerator,Comment by enumerator,True
Status by validator,Status by validator,True
Assessment header (M&E step 1),Assessment header (M&E step 1),True
Completion status step 9,Completion status step 9,True
Remarks step 9,Remarks step 9,True
Solar dryer,Solar dryer,True
GRP (Tree planting),GRP (Tree planting),True
GIZ,GIZ,True
Did you receive a solar dryer from Co-Honducafe/Nescafe?,Did you receive a solar dryer from Co-Honducafe/Nescafe?,True
"If you have received a solar dryer, what is the current condition of the dryer?","If you have received a solar dryer, what is the current condition of the dryer?",True
Did you receive any trees?,Did you receive any trees?,True
How many trees?,How many trees?,True
From how many species?,From how many species?,True
How many trees have survived?,How many trees have survived?,True
How to handle and care for trees plantlet that have been planted in the farm to ensure that they grow well?,How to handle and care for trees plantlet that have been planted in the farm to ensure that they grow well?,True
What is the main factors that cause the tree planted to die?,What is the main factors that cause the tree planted to die?,True
Regenerative Agriculture,Regenerative Agriculture,True
Farmer Business School (FBS),Farmer Business School (FBS),True
I did not participate in any trainings conducted by Nestle or GIZ,I did not participate in any trainings conducted by Nestle or GIZ,True
Other,Other,True
please specify,please specify,True
Number of training sessions in last 12 months for participant in age 15 to 24 years,Number of training sessions in last 12 months for participant in age 15 to 24 years,True
Number of training sessions in last 12 months for participant in age 25 to 35 years old,Number of training sessions in last 12 months for participant in age 25 to 35 years old,True
Number of training sessions in last 12 months for participant in age 36 and over,Number of training sessions in last 12 months for participant in age 36 and over,True
Did the Nestle / GIZ trainings that you participated in over the last 12 months increase your knowledge / skills?,Did the Nestle / GIZ trainings that you participated in over the last 12 months increase your knowledge / skills?,True
Were you able to apply the knowledge and skills gained during the Nestle / GIZ trainings that you participated in over the last 12 months?,Were you able to apply the knowledge and skills gained during the Nestle / GIZ trainings that you participated in over the last 12 months?,True
Climate resilience assessment: Was the training relevant to skills addressing the impacts of climate change?,Climate resilience assessment: Was the training relevant to skills addressing the impacts of climate change?,True
Did you learn a lot about risks related to climate change ?,Did you learn a lot about risks related to climate change ?,True
Did you increase your skills regarding the specific adaptation to or mitigation of climate change risks,Did you increase your skills regarding the specific adaptation to or mitigation of climate change risks,True
Please explain: Which specific climate risks or consequences will you be able to better cope with if you apply the new skills?,Please explain: Which specific climate risks or consequences will you be able to better cope with if you apply the new skills?,True
Did you already apply the skills in order to better address climate risks ?,Did you already apply the skills in order to better address climate risks ?,True
Please explain: What did you change in order to better cope with the consequences of climate change or to be prepared for future consequences?,Please explain: What did you change in order to better cope with the consequences of climate change or to be prepared for future consequences?,True
"More Work: Additional hours by e.g, expansion of farming activities","More Work: Additional hours by e.g, expansion of farming activities",True
Improved working conditions,Improved working conditions,True
More income from farming activities,More income from farming activities,True
Please select the 1st priority,Please select the 1st priority,True
Please select the 2nd priority,Please select the 2nd priority,True
How would you describe your work?,How would you describe your work?,True
If you got additional working hours as a result of participating at the trainings: How many additional working hours did you have per dayon average?,If you got additional working hours as a result of participating at the trainings: How many additional working hours did you have per dayon average?,True
"If you got additional working hours as a result of participating in the trainings, please describe what influence the trainings had in this regard.","If you got additional working hours as a result of participating in the trainings, please describe what influence the trainings had in this regard.",True
Operational safety & health conditions,Operational safety & health conditions,True
Work quality (e.g. use of technology or techniques that ease physical portion of work),Work quality (e.g. use of technology or techniques that ease physical portion of work),True
Equality for women,Equality for women,True
Farmers groups structure,Farmers groups structure,True
Others,Others,True
Others - Please provide details,Others - Please provide details,True
"If your working conditions have improved as a result of participating in the traingings, please describe what influence the trainings had in this regard.","If your working conditions have improved as a result of participating in the traingings, please describe what influence the trainings had in this regard.",True
"If your income has increased from the farming activities as a result of participating in the trainings, please describe what influence the trainings had in this regard.","If your income has increased from the farming activities as a result of participating in the trainings, please describe what influence the trainings had in this regard.",True
Productivity increase,Productivity increase,True
Income increase,Income increase,True
Income diversification,Income diversification,True
Crop diversification,Crop diversification,True
Recordkeeping improvement,Recordkeeping improvement,True
Farm management improvement,Farm management improvement,True
Working conditions improvement,Working conditions improvement,True
Other improvement,Other improvement,True
Other improvement - Please provide details,Other improvement - Please provide details,True
Comment,Comment,True
How many of the members in your household are directly involved in the coffee activities?,How many of the members in your household are directly involved in the coffee activities?,True
How many are women?,How many are women?,True
Who usually takes the financial decisions in the household expenses?,Who usually takes the financial decisions in the household expenses?,True
Who usually takes the financial decisions in the coffee income?,Who usually takes the financial decisions in the coffee income?,True
Who usually takes the financial decisions in the farm income?,Who usually takes the financial decisions in the farm income?,True
How many in your household are members of cooperatives or local coffee groups,How many in your household are members of cooperatives or local coffee groups,True
How many men in your household are members of cooperatives or local coffee groups,How many men in your household are members of cooperatives or local coffee groups,True
How many women in your household are members of cooperatives or local coffee groups,How many women in your household are members of cooperatives or local coffee groups,True
How many of the women in your household are members of womens groups,How many of the women in your household are members of womens groups,True
How many in your household are members of VSLA groups,How many in your household are members of VSLA groups,True
How many men in your household are members of VSLA groups,How many men in your household are members of VSLA groups,True
How many women in your household are members of VSLA groups,How many women in your household are members of VSLA groups,True
"Compared to before the Nestle/GIZ support, please let us know if any of the below applies?","Compared to before the Nestle/GIZ support, please let us know if any of the below applies?",True
Please specify,Please specify,True
What other support would?you / Women in your household? require?,What other support would?you / Women in your household? require?,True
Number of boys in school age,Number of boys in school age,True
How many are fully going to school?,How many are fully going to school?,True
How many are partially going to school?,How many are partially going to school?,True
Number of girls in school age,Number of girls in school age,True
Who owns the coffee farm?,Who owns the coffee farm?,True
Who keeps the records and documents of the farm?,Who keeps the records and documents of the farm?,True
Who handles and receives payments from the sale of the coffee,Who handles and receives payments from the sale of the coffee,True
In whose name is the title deed (ownership of the farm),In whose name is the title deed (ownership of the farm),True
Who is an official member of the cooperative / producer organization,Who is an official member of the cooperative / producer organization,True
Who has a bank account or mobile money account?,Who has a bank account or mobile money account?,True
"Who usually takes the financial decisions in the household (household expenses, investment, saving, sales)?","Who usually takes the financial decisions in the household (household expenses, investment, saving, sales)?",True
Who usually keeps the cash money in the household?,Who usually keeps the cash money in the household?,True
Has your coffee farm been pruned in the last 12 months?,Has your coffee farm been pruned in the last 12 months?,True
Do you have area pruned in the last 3 years,Do you have area pruned in the last 3 years,True
What is the total area pruned in the last 3 years?,What is the total area pruned in the last 3 years?,True
What percentage of the coffee farm has been rejuvenated by full stumping in the last 12 months (%),What percentage of the coffee farm has been rejuvenated by full stumping in the last 12 months (%),True
What percentage of the coffee farm has been rejuvenated by partial stumping (with remaining branch ) in the past 12 months? (%),What percentage of the coffee farm has been rejuvenated by partial stumping (with remaining branch ) in the past 12 months? (%),True
Describe the quality of maintenance after rejuvenation/stumping rejuvenation/stumping,Describe the quality of maintenance after rejuvenation/stumping rejuvenation/stumping,True
If you receive fertilizer from Nestle Philippines fertilizer program,If you receive fertilizer from Nestle Philippines fertilizer program,True
How many bags and type of fertilizer received?,How many bags and type of fertilizer received?,True
What is the type of fertilizer received,What is the type of fertilizer received,True
When did you receive/ apply the fertilizer?,When did you receive/ apply the fertilizer?,True
Where in particular (plot) in your coffee farm did you apply the fertilizer?,Where in particular (plot) in your coffee farm did you apply the fertilizer?,True
Did you observe noticeable differences in crop stand and/or yield improvement from the applied area/plot? (take note of the qualitative (crop stand) and quantitative (yield - kgs),Did you observe noticeable differences in crop stand and/or yield improvement from the applied area/plot? (take note of the qualitative (crop stand) and quantitative (yield - kgs),True
yield - kgs,yield - kgs,True
Are you satisfied/convinced from the results of your fertilized area/plot?,Are you satisfied/convinced from the results of your fertilized area/plot?,True
please explain,please explain,True
Are you willing to invest in fertilization for your farm yield improvement?,Are you willing to invest in fertilization for your farm yield improvement?,True
Completion status step 8a,Completion status step 8a,True
Remarks step 8a,Remarks step 8a,True
Status Code Farmer,Status Code Farmer,True
